Scheme Name,Scheme Code
Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth,100033
Aditya Birla Sun Life Large & Mid Cap Fund -Regular - IDCW,100034
Aditya Birla Sun Life Income Fund - Regular - Quarterly IDCW,100037
Aditya Birla Sun Life Income Fund - Growth - Regular Plan,100038
Aditya Birla Sun Life Liquid Fund -Institutional - IDCW,100041
Aditya Birla Sun Life Liquid Fund-Retail (Growth),100042
Aditya Birla Sun Life Liquid Fund-Institutional (Growth),100043
Aditya Birla Sun Life Liquid Fund -Retail - IDCW,100044
Aditya Birla Sun Life Liquid Fund -Daily IDCW,100046
Aditya Birla Sun Life Liquid Fund - Growth,100047
Aditya Birla Sun Life Liquid Fund -Institutional - weekly  IDCW,100048
Aditya Birla Sun Life Liquid Fund -weekly IDCW,100051
Aditya Birla Sun Life Govenment Securities Fund -Regular - Quarterly IDCW,100057
Aditya Birla Sun Life Government Securities Fund  - Growth - Regular Plan,100058
Aditya Birla Sun Life MNC Fund - Regular - IDCW,100063
Aditya Birla Sun Life MNC Fund - Growth - Regular Plan,100064
DSP Bond Fund - IDCW,100077
DSP Bond Fund - Growth,100078
DSP Bond Fund - IDCW - Monthly,100079
DSP Flexi Cap Fund - Regular Plan - IDCW,100080
DSP Aggressive Hybrid Fund- Regular Plan - Growth,100081
DSP Aggressive Hybrid Fund- Regular Plan - IDCW,100082
DSP Gilt Fund - Regular Plan - Growth,100084
DSP Gilt Fund - Regular Plan - IDCW,100085
DSP Gilt Fund - Regular Plan - IDCW - Monthly,100086
DSP Savings Fund - Regular Plan - Growth,100087
DSP Savings Fund - Regular Plan - IDCW,100088
DSP Savings Fund - Regular Plan - IDCW - Monthly,100089
HDFC Balanced Advantage Fund - Growth Plan,100119
HDFC Balanced Advantage Fund - IDCW Plan,100120
HDFC Income Fund - Quarterly IDCW Option,100123
HDFC Income Fund - Growth Option,100124
quant ELSS Tax Saver Fund - IDCW Option - Regular Plan,100174
quant ELSS Tax Saver Fund - Growth Option - Regular Plan,100175
quant Small Cap Fund - IDCW Option - Regular Plan,100176
quant Small Cap Fund - Growth - Regular Plan,100177
JM Large Cap Fund (Regular) - IDCW,100218
JM Large Cap Fund (Regular) - Growth Option,100219
JM Aggressive Hybrid Fund (Regular) - IDCW,100220
JM Aggressive Hybrid Fund (Regular) -Growth Option,100221
JM Medium to Long Duration Fund (Regular) - Quarterly IDCW,100222
JM Medium to Long Duration Fund (Regular) - Growth Option,100223
